timestamp,event,pid,ppid,name,cmd,windowtitle
2026-06-28T18:32:09.3885041-04:00,FOUND,26764,27992,conhost.exe,"\??\C:\Windows\system32\conhost.exe 0x4",""
2026-06-28T18:32:09.9702091-04:00,FOUND,14732,31976,freebuff.exe,"C:\Users\Jatilq\.config\manicode\freebuff.exe",""
2026-06-28T18:32:10.2133357-04:00,FOUND,3192,31244,conhost.exe,"\??\C:\Windows\system32\conhost.exe 0x4",""
2026-06-28T18:32:10.2153351-04:00,FOUND,33012,25092,bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -c ""npm run sync-version && tauri dev""",""
2026-06-28T18:32:10.2431334-04:00,FOUND,17332,33012,bash.exe,"""C:\Program Files\Git\bin\..\usr\bin\bash.exe"" -c ""npm run sync-version && tauri dev""",""
2026-06-28T18:32:10.2688517-04:00,FOUND,33688,17332,sh.exe,"""C:\Program Files\Git\usr\bin\sh.exe"" /e/ai/Projects/Meridian/node_modules/.bin/tauri dev",""
2026-06-28T18:32:10.2750908-04:00,FOUND,27552,32008,bash.exe,"""C:\Program Files\Git\bin\bash.exe"" -c vite",""
2026-06-28T18:32:10.3027607-04:00,FOUND,35804,27552,bash.exe,"""C:\Program Files\Git\bin\..\usr\bin\bash.exe"" -c vite",""
2026-06-28T18:32:10.3270652-04:00,FOUND,33912,35804,sh.exe,"""C:\Program Files\Git\usr\bin\sh.exe"" /e/ai/Projects/Meridian/node_modules/.bin/vite",""
2026-06-28T18:32:10.3627291-04:00,FOUND,32320,34168,msedgewebview2.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.98\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=sigma-file-manager.exe --webview-exe-version=2.1.1 --user-data-dir=""C:\Users\Jatilq\AppData\Local\com.meridian.app\EBWebView"" --noerrdialogs --embedded-browser-webview-dpi-awareness=2 --autoplay-policy=no-user-gesture-required --disable-features=msWebOOUI,msPdfOOUI,msSmartScreenProtection --lang=en-US --mojo-named-platform-channel-pipe=34168.35556.3947439878251682565 /pfhostedapp:4e4abb056ba987b3139b7ce6fc7f16befa071b28",""
