timestamp,event,summary
2026-06-28T18:32:22.2900758-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:23.1040966-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:23.4515846-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
2026-06-28T18:32:24.4393710-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:24.8905460-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:24.9158271-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
2026-06-28T18:32:24.9360650-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:25.7926648-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:26.1399960-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
2026-06-28T18:32:27.1220358-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:27.5535250-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:27.5778514-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
2026-06-28T18:32:27.5999281-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:28.4171706-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:28.7595229-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
2026-06-28T18:32:29.6980371-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:30.1275576-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:30.1506526-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
2026-06-28T18:32:30.1690705-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:30.9915415-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:31.3507455-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
2026-06-28T18:32:32.2987495-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:32.7201268-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:32.7432495-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
2026-06-28T18:32:32.7645332-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:33.5766367-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:33.9284714-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
2026-06-28T18:32:34.8867051-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:35.2749423-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:35.2989140-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
2026-06-28T18:32:35.3166567-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:36.0670997-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:36.4018890-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
2026-06-28T18:32:37.3398954-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:37.7735003-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:37.7959295-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
2026-06-28T18:32:37.8172913-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:38.6256698-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:38.9714494-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
2026-06-28T18:32:39.9338123-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:40.3487209-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:40.3715864-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
2026-06-28T18:32:40.3916097-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:41.2076341-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:41.5475034-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
2026-06-28T18:32:42.4903187-04:00,CMD_FLASH,conhost.exe pid=14752 ppid=14744 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:42.9277931-04:00,CMD_FLASH,conhost.exe pid=27912 ppid=27124 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:42.9534937-04:00,CMD_FLASH,powershell.exe pid=27992 ppid=27124 cmd=powershell.exe -NoProfile -ExecutionPolicy Bypass -WindowStyle Hidden -InputFormat Text -OutputFormat Text -File E:\ai\apps\npm\node_modules\9router\src\cli\tray\tray.ps1 -IconPath E:\ai\apps\npm\node_modules\9router\src\cli\tray\icon.ico -Tooltip "9Router - Port 20128"
2026-06-28T18:32:42.9720805-04:00,CMD_FLASH,conhost.exe pid=26764 ppid=27992 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:43.8062395-04:00,CMD_FLASH,conhost.exe pid=3192 ppid=31244 cmd=\??\C:\Windows\system32\conhost.exe 0x4
2026-06-28T18:32:44.1500211-04:00,CMD_FLASH,powershell.exe pid=26912 ppid=32612 cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File E:/ai/Projects/Meridian/screenshots/proc-poller.ps1
